venta_id,cliente_id,fecha_venta,producto_id,cantidad,precio_unitario,total_venta,canal_venta
2025-001,294,2025-03-05,5,4,404145,1616580,App
2025-002,31,2025-04-23,5,2,685159,1370318,Tienda Física
2025-003,67,2025-03-16,5,4,787881,3151524,Tienda Física
2025-004,234,2025-02-20,2,2,482890,965780,Web
2025-005,245,2025-01-30,2,1,4995035,4995035,Web
2025-006,37,2025-06-19,4,1,566066,566066,Tienda Física
2025-007,134,2025-07-15,2,4,553088,2212352,Web
2025-008,77,2025-02-28,6,4,765600,3062400,Web
2025-009,224,2025-10-05,4,1,406452,406452,Web
2025-010,162,2025-12-08,5,3,741478,2224434,Tienda Física
2025-011,42,2025-12-20,5,3,735753,2207259,Web
2025-012,21,2025-10-27,3,3,653907,1961721,Tienda Física
2025-013,92,2025-10-07,5,3,572060,1716180,Tienda Física
2025-014,139,2025-09-30,3,4,503671,2014684,App
2025-015,249,2025-06-01,2,3,612276,1836828,Tienda Física
2025-016,8,2025-10-11,5,1,249779,249779,App
2025-017,147,2025-03-05,3,1,798140,798140,Tienda Física
2025-018,140,2025-09-03,5,2,36086,72172,Web
2025-019,184,2025-01-20,1,2,170761,341522,App
2025-020,17,2025-05-27,2,4,725371,2901484,App
2025-021,183,2025-09-07,4,2,431280,862560,App
2025-022,216,2025-07-22,1,3,570881,1712643,Web
2025-023,179,2025-08-07,2,4,552642,2210568,Tienda Física
2025-024,239,2025-09-17,5,3,160575,481725,Tienda Física
2025-025,116,2025-12-03,1,1,418288,418288,Tienda Física
2025-026,63,2025-10-21,3,3,131668,395004,Web
2025-027,189,2025-10-14,2,4,259877,1039508,Web
2025-028,214,2025-06-20,3,2,553625,1107250,App
2025-029,126,2025-10-04,4,2,677304,1354608,Tienda Física
2025-030,184,2025-10-13,1,2,328766,657532,Tienda Física
2025-031,19,2025-09-21,2,1,526637,526637,Tienda Física
2025-032,67,2025-03-06,4,1,412980,412980,Web
2025-033,37,2025-05-21,5,4,410511,1642044,Web
2025-034,127,2025-09-14,4,3,348113,1044339,Tienda Física
2025-035,104,2025-01-23,1,2,64189,128378,App
2025-036,260,2025-12-24,3,3,2524436,7573308,Tienda Física
2025-037,188,2025-06-22,2,1,169292,169292,Tienda Física
2025-038,123,2025-12-24,2,4,605600,2422400,Tienda Física
2025-039,162,2025-08-22,4,4,771019,3084076,App
2025-040,13,2025-07-03,4,2,795858,1591716,Tienda Física
2025-041,120,2025-02-24,3,2,33782,67564,Web
2025-042,295,2025-11-17,1,1,163245,163245,Web
2025-043,269,2025-01-21,3,1,464418,464418,Web
2025-044,281,2025-08-02,1,3,672550,2017650,App
2025-045,74,2025-01-10,4,4,559523,2238092,App
2025-046,14,2025-06-27,4,2,117507,235014,Web
2025-047,22,2025-01-30,4,1,197450,197450,Tienda Física
2025-048,264,2025-01-12,6,2,178785,357570,App
2025-049,127,2025-03-16,1,4,451904,1807616,Tienda Física
2025-050,241,2025-12-15,2,2,209775,419550,App
2025-051,294,2025-07-28,2,4,687800,2751200,App
2025-052,157,2025-06-05,3,1,553296,553296,Tienda Física
2025-053,147,2025-05-17,3,2,506043,1012086,App
2025-054,141,2025-03-24,1,2,528767,1057534,Tienda Física
2025-055,186,2025-08-06,5,1,626410,626410,Web
2025-056,120,2025-06-24,5,1,108538,108538,Web
2025-057,101,2025-01-24,4,3,392736,1178208,Tienda Física
2025-058,281,2025-04-04,1,1,288355,288355,Tienda Física
2025-059,211,2025-05-20,5,2,318112,636224,Web
2025-060,28,2025-02-10,3,3,601343,1804029,App
2025-061,256,2025-08-15,4,1,477835,477835,Tienda Física
2025-062,13,2025-07-29,5,1,121715,121715,Tienda Física
2025-063,16,2025-05-17,1,2,498906,997812,App
2025-064,100,2025-04-19,5,1,591793,591793,Web
2025-065,216,2025-09-21,4,2,164626,329252,App
2025-066,149,2025-01-28,6,2,326480,652960,Web
2025-067,252,2025-08-23,3,1,298816,298816,App
2025-068,54,2025-05-18,5,4,67134,268536,Web
2025-069,74,2025-02-15,5,1,783221,783221,App
2025-070,138,2025-06-12,1,3,717173,2151519,Web
2025-071,268,2025-07-01,4,4,22828,91312,Tienda Física
2025-072,228,2025-07-07,2,2,448080,896160,Tienda Física
2025-073,156,2025-09-29,1,4,742763,2971052,App
2025-074,283,2025-06-30,2,3,61374,184122,App
2025-075,233,2025-06-11,5,2,302575,605150,Web
2025-076,153,2025-02-02,2,3,71240,213720,App
2025-077,12,2025-01-16,3,1,191196,191196,Tienda Física
2025-078,228,2025-04-21,3,1,389039,389039,Tienda Física
2025-079,264,2025-08-13,1,4,283452,1133808,App
2025-080,59,2025-05-12,3,1,536492,536492,App
2025-081,226,2025-07-24,4,3,59067,177201,App
2025-082,4,2025-03-31,1,3,152980,458940,App
2025-083,143,2025-10-15,4,2,642336,1284672,Tienda Física
2025-084,90,2025-07-18,2,1,436009,436009,Web
2025-085,267,2025-06-30,4,3,279150,837450,Tienda Física
2025-086,49,2025-06-24,4,2,558277,1116554,Web
2025-087,47,2025-06-08,1,2,676393,1352786,Web
2025-088,5,2025-03-25,4,1,712922,712922,App
2025-089,161,2025-08-14,5,2,770084,1540168,App
2025-090,294,2025-03-03,6,2,577597,1155194,Web
2025-091,223,2025-08-10,3,2,577815,1155630,Web
2025-092,235,2025-04-18,1,1,475226,475226,Web
2025-093,50,2025-01-11,4,4,773461,3093844,Web
2025-094,272,2025-03-09,3,4,782791,3131164,Tienda Física
2025-095,90,2025-11-28,3,1,246562,246562,Tienda Física
2025-096,154,2025-09-17,4,3,270220,810660,App
2025-097,273,2025-04-17,3,1,78431,78431,App
2025-098,247,2025-01-08,5,2,2724276,5448552,App
2025-099,94,2025-11-17,3,3,434528,1303584,Tienda Física
2025-100,84,2025-03-29,2,2,509797,1019594,Web
2025-101,74,2025-02-05,5,4,734479,2937916,App
2025-102,255,2025-06-20,5,4,597515,2390060,App
2025-103,55,2025-04-01,6,1,512648,512648,Web
2025-104,141,2025-06-22,2,4,295960,1183840,App
2025-105,248,2025-09-04,3,2,400642,801284,Web
2025-106,160,2025-03-30,5,3,620032,1860096,Tienda Física
2025-107,117,2025-04-04,3,3,13696,41088,Tienda Física
2025-108,91,2025-12-12,6,1,55740,55740,Web
2025-109,181,2025-04-01,2,4,455376,1821504,App
2025-110,257,2025-02-27,2,1,40099,40099,Tienda Física
2025-111,266,2025-11-11,3,1,489336,489336,Web
2025-112,193,2025-10-05,2,4,44540,178160,Web
2025-113,221,2025-03-09,5,4,399770,1599080,Tienda Física
2025-114,149,2025-04-09,4,2,267906,535812,Tienda Física
2025-115,109,2025-07-07,2,4,279956,1119824,Web
2025-116,132,2025-10-06,2,4,320001,1280004,Web
2025-117,221,2025-02-10,3,4,223606,894424,App
2025-118,271,2025-07-14,3,4,155342,621368,Web
2025-119,164,2025-01-24,2,4,157745,630980,Web
2025-120,181,2025-09-05,4,3,447100,1341300,Web
2025-121,254,2025-06-30,6,1,59976,59976,Web
2025-122,249,2025-07-07,6,2,773529,1547058,Tienda Física
2025-123,103,2025-03-26,5,4,723087,2892348,Tienda Física
2025-124,38,2025-08-27,1,1,163484,163484,Tienda Física
2025-125,30,2025-07-09,5,1,559999,559999,Tienda Física
2025-126,206,2025-07-04,6,4,373898,1495592,Tienda Física
2025-127,228,2025-02-08,6,1,274852,274852,Web
2025-128,272,2025-02-28,2,2,712495,1424990,Tienda Física
2025-129,162,2025-09-12,6,1,215776,215776,Tienda Física
2025-130,10,2025-08-02,1,1,753859,753859,Tienda Física
2025-131,153,2025-05-03,5,1,794192,794192,Tienda Física
2025-132,217,2025-02-20,4,1,282872,282872,Tienda Física
2025-133,88,2025-07-13,3,2,422672,845344,Tienda Física
2025-134,167,2025-05-06,1,1,423089,423089,Tienda Física
2025-135,169,2025-03-14,5,2,702485,1404970,Web
2025-136,3,2025-12-03,1,4,683647,2734588,Tienda Física
2025-137,109,2025-07-02,1,1,639698,639698,App
2025-138,271,2025-04-10,4,2,211554,423108,Tienda Física
2025-139,78,2025-11-10,1,2,80305,160610,Web
2025-140,247,2025-08-04,3,1,604821,604821,Web
2025-141,168,2025-12-05,5,1,382047,382047,App
2025-142,13,2025-08-28,6,3,330146,990438,Tienda Física
2025-143,43,2025-03-30,4,3,135355,406065,Tienda Física
2025-144,2,2025-01-22,3,1,227060,227060,Tienda Física
2025-145,206,2025-04-24,3,3,344971,1034913,Web
2025-146,113,2025-01-12,6,1,594010,594010,Web
2025-147,283,2025-05-20,1,2,291696,583392,Web
2025-148,57,2025-11-30,5,2,273031,546062,Tienda Física
2025-149,33,2025-11-14,2,4,616226,2464904,App
2025-150,197,2025-02-16,4,1,580508,580508,App
2025-151,79,2025-08-03,6,3,3794834,11384502,App
2025-152,248,2025-01-29,2,3,586201,1758603,Web
2025-153,57,2025-08-06,6,1,239577,239577,Web
2025-154,6,2025-02-27,5,4,166989,667956,Web
2025-155,82,2025-08-07,1,4,300374,1201496,Tienda Física
2025-156,266,2025-04-08,1,3,376081,1128243,App
2025-157,166,2025-01-22,2,3,632006,1896018,Tienda Física
2025-158,219,2025-06-06,6,4,747242,2988968,Web
2025-159,148,2025-04-18,3,4,242930,971720,Tienda Física
2025-160,290,2025-11-19,6,3,797738,2393214,App
2025-161,73,2025-12-18,6,1,531658,531658,Tienda Física
2025-162,258,2025-03-06,3,2,483048,966096,App
2025-163,79,2025-11-11,6,3,788799,2366397,Web
2025-164,248,2025-10-05,4,2,94381,188762,Web
2025-165,284,2025-10-28,4,3,748096,2244288,Web
2025-166,164,2025-03-24,1,2,480435,960870,Web
2025-167,237,2025-02-15,2,4,427567,1710268,App
2025-168,176,2025-06-15,1,2,92289,184578,Tienda Física
2025-169,54,2025-06-27,3,4,410890,1643560,Web
2025-170,127,2025-09-28,4,1,143498,143498,Web
2025-171,248,2025-12-14,1,3,101176,303528,App
2025-172,212,2025-06-17,1,1,133030,133030,Tienda Física
2025-173,47,2025-03-04,1,1,243540,243540,Tienda Física
2025-174,290,2025-10-23,3,1,299730,299730,App
